node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
42 43 0 15.6072 9.4973 -15.7509 15.8424 9.6047 -16.2152 0.1451 0.5314 0.0000 0.0000 205.0000 8.3293 1.0000 
43 44 0 15.8424 9.6047 -16.2152 16.0784 9.7114 -16.6810 0.1451 0.5330 0.0000 0.0000 205.0000 8.5327 1.0000 
44 45 0 16.0784 9.7114 -16.6810 16.2110 9.8185 -17.0152 0.1451 0.3751 0.0000 0.0000 205.0000 8.6763 1.0000 
45 46 0 16.2110 9.8185 -17.0152 16.3101 10.0101 -17.5057 0.1451 0.5359 0.0000 0.0000 205.0000 8.8821 1.0000 
46 47 0 16.3101 10.0101 -17.5057 16.3939 10.1753 -17.9303 0.1451 0.4632 0.0000 0.0000 205.0000 9.2680 1.0000 
47 48 0 16.3939 10.1753 -17.9303 16.5079 10.3242 -18.4969 0.1451 0.5969 0.0000 0.0000 205.0000 9.2913 1.0000 
48 49 0 16.5079 10.3242 -18.4969 16.5698 10.4417 -18.9387 0.1451 0.4613 0.0000 0.0000 205.0000 9.4702 1.0000 
49 50 0 16.5698 10.4417 -18.9387 16.6387 10.5785 -19.4734 0.1451 0.5562 0.0000 0.0000 205.0000 9.6867 1.0000 
50 51 0 16.6387 10.5785 -19.4734 16.6625 10.7392 -20.0458 0.1451 0.5949 0.0000 0.0000 205.0000 9.9192 1.0000 
51 52 0 16.6625 10.7392 -20.0458 16.6924 10.8543 -20.6042 0.1451 0.5710 0.0000 0.0000 205.0000 10.3121 1.0000 
52 53 0 16.6924 10.8543 -20.6042 16.6688 10.9713 -21.0502 0.1451 0.4617 0.0000 0.0000 205.0000 10.3250 1.0000 
53 54 0 16.6688 10.9713 -21.0502 16.6705 11.0711 -21.5225 0.1451 0.4827 0.0000 0.0000 205.0000 10.5156 1.0000 
54 55 0 16.6705 11.0711 -21.5225 16.6702 11.1983 -22.1044 0.1451 0.5957 0.0000 0.0000 205.0000 10.7516 1.0000 
55 56 0 16.6702 11.1983 -22.1044 16.6638 11.3082 -22.5613 0.1451 0.4700 0.0000 0.0000 205.0000 10.9385 1.0000 
56 57 0 16.6638 11.3082 -22.5613 16.6500 11.4035 -23.0184 0.1451 0.4671 0.0000 0.0000 205.0000 11.3382 1.0000 
57 58 0 16.6500 11.4035 -23.0184 16.6444 11.5182 -23.5437 0.1451 0.5377 0.0000 0.0000 205.0000 11.3402 1.0000 
